,amount_3month,max_amount_3month,min_amount_3month,distinct_payment_code_3month,count_payment_code_3month,distinct_trans_group_3month,distinct_ref_no_3month,id,churn,age,sex_FEMALE,sex_MALE,marital_status_Married,marital_status_Other,marital_status_Single
0,7.35e-05,0.0004,5.92e-06,0,0,2,33,1542621943,0,29.0,0,1,1,0,0
3,0.0,0.0,0.0,0,0,1,1,642516181,1,20.0,0,1,0,0,1
4,7.45e-05,0.00038,5.92e-07,1,11,3,24,1308443119,0,32.0,0,1,1,0,0
5,1.31e-07,1e-06,5.92e-07,1,5,1,5,435820450,1,28.0,0,1,0,0,1
6,0.0,0.0,0.0,0,0,1,2,1499819800,1,27.0,0,1,0,0,1
8,5e-07,4.4e-06,1.77e-06,1,3,2,4,1676525990,1,32.0,0,1,1,0,0
9,0.0,0.0,0.0,0,0,1,1,1877913769,1,21.0,1,0,0,0,1
10,1.31e-08,2e-07,5.92e-07,1,1,2,3,195479592,1,23.0,0,1,0,0,1
11,2.76e-05,0.0002906,8.87e-07,1,2,3,32,498001800,0,34.0,0,1,1,0,0
12,6.73e-06,2.6e-05,5.92e-07,1,6,3,20,1519332095,0,25.0,0,1,0,0,1
13,0.0,0.0,0.0,0,0,1,2,1867299589,1,37.0,0,1,0,0,1
15,0.0,0.0,0.0,0,0,1,1,998607473,1,24.0,0,1,0,0,1
16,5.06e-05,0.0002,9.94e-06,2,4,3,14,420140331,0,46.0,0,1,1,0,0
22,5.9e-06,4e-05,1.18e-06,1,8,2,12,1980949880,0,26.0,0,1,0,0,1
24,0.0,0.0,0.0,0,0,1,1,1372663450,1,26.0,0,1,0,0,1
25,5.3e-05,0.0002611,2.96e-06,1,1,3,20,1686573851,1,34.0,0,1,0,0,1
28,1e-05,6e-05,3.55e-06,0,0,1,9,1415125958,1,21.0,0,1,0,0,1
29,1.17e-07,1.78e-06,5.26e-06,0,0,1,1,768601066,1,55.0,0,1,1,0,0
30,1.32e-05,6.38e-05,2.15e-06,1,3,2,8,1453123753,1,34.0,0,1,0,0,1
33,5.26e-07,4e-06,1.18e-05,1,1,3,3,793897814,0,30.0,0,1,0,0,1
35,1.94e-06,1.9e-05,5.92e-07,1,1,3,7,1111751375,0,21.0,0,1,0,0,1
36,4.26e-05,0.0004,2.37e-06,1,1,3,15,996519803,1,34.0,1,0,0,0,1
39,7.73e-05,0.00018416,1.77e-06,1,3,3,38,183179904,0,26.0,0,1,0,0,1
40,1.64e-05,6e-05,5.92e-07,1,1,2,24,594888592,0,35.0,1,0,1,0,0
41,0.0,0.0,0.0,0,0,1,1,716724417,1,26.0,0,1,0,0,1
42,6.34e-05,0.0001671,2.96e-06,1,3,4,19,387147380,0,38.0,0,1,1,0,0
43,4.34e-07,6e-06,5.92e-07,1,2,2,4,1482041815,0,29.0,0,1,0,0,1
44,7.89e-07,8e-06,1.18e-05,1,1,2,2,934551762,1,27.0,0,1,0,0,1
45,2.65e-05,8.4e-05,5.92e-07,1,4,3,45,150555870,0,23.0,1,0,0,0,1
46,0.0,0.0,0.0,0,0,1,1,1690699183,1,29.0,0,1,0,0,1
48,3e-05,7.6e-05,2.96e-06,1,1,5,28,1898568502,0,26.0,0,1,0,0,1
49,0.0,0.0,0.0,0,0,1,4,213887721,1,35.0,0,1,1,0,0
50,2.63e-07,2e-06,2.96e-06,1,3,1,3,1563104037,1,29.0,0,1,0,0,1
51,9.2e-07,1e-05,1.18e-05,0,0,2,3,728378696,0,41.0,0,1,1,0,0
54,0.000159756,0.0003,2.96e-06,1,1,3,41,421888760,0,41.0,0,1,0,0,1
55,4.16e-05,0.00012,5.92e-06,1,2,3,22,1812788139,0,31.0,0,1,1,0,0
57,0.0,0.0,0.0,0,0,1,1,1345670470,1,19.0,1,0,0,0,1
58,0.00019553,0.000428104,2.96e-06,1,1,4,47,1014318705,0,37.0,1,0,1,0,0
59,8.92e-06,4e-05,5.92e-06,0,0,1,7,1523050235,1,39.0,0,1,0,0,1
60,5.78e-06,3.2e-05,5.92e-07,1,4,2,8,837468058,0,30.0,0,1,0,0,1
61,1.43e-05,0.00011,1.48e-06,1,2,3,15,1529203886,0,22.0,0,1,0,0,1
62,6.02e-05,0.00014,5.92e-07,1,9,3,29,1849622944,0,22.0,0,1,1,0,0
63,6.83e-05,0.00014,1.77e-06,1,3,3,40,819249663,0,51.0,1,0,1,0,0
64,0.0,0.0,0.0,0,0,1,2,718876081,1,19.0,1,0,0,0,1
65,2.3e-06,3.2e-05,2.96e-06,1,3,3,6,575600147,1,28.0,1,0,0,0,1
67,3.37e-05,0.0002563,5.92e-07,1,5,4,17,1791395847,0,31.0,1,0,1,0,0
68,4.93e-05,0.00012,5.92e-06,0,0,2,30,1051650974,0,27.0,0,1,1,0,0
69,4.76e-05,0.00018,5.92e-07,1,11,2,23,1395635323,0,26.0,0,1,0,0,1
70,0.0,0.0,0.0,0,0,1,1,32353114,1,21.0,1,0,0,0,1
71,2.24e-06,1e-05,2.96e-06,1,2,2,6,1172840066,0,27.0,0,1,0,0,1
72,3.89e-05,0.0001,5.92e-06,1,1,2,26,89545627,0,28.0,1,0,1,0,0
77,9.03e-05,0.00030826,1.18e-05,0,0,3,16,1911779021,0,28.0,1,0,1,0,0
79,3.02e-06,2e-05,2.96e-06,1,2,3,7,1205748975,0,22.0,0,1,1,0,0
82,1.67e-05,7.6e-05,5.92e-07,1,5,3,26,910089938,0,20.0,0,1,0,0,1
83,9.18e-06,5.56e-05,1.18e-05,0,0,2,7,788134724,0,26.0,0,1,0,0,1
86,0.0,0.0,0.0,0,0,1,1,822986057,1,21.0,0,1,0,0,1
89,0.0,0.0,0.0,0,0,1,1,491062554,1,24.0,1,0,0,0,1
90,0.0,0.0,0.0,0,0,1,1,1825108521,1,35.0,1,0,0,0,1
91,6.33e-05,0.0002,2.96e-06,1,3,3,26,105588482,0,28.0,0,1,0,0,1
93,6.55e-08,9.96e-07,2.95e-06,0,0,1,1,923583504,1,35.0,1,0,1,0,0
95,4.45e-05,0.00024,5.92e-07,2,10,3,23,529786558,0,44.0,0,1,1,0,0
96,0.0,0.0,0.0,0,0,1,1,8443033,1,25.0,0,1,0,0,1
97,2.12e-06,1.6e-05,1.18e-06,1,3,3,7,898627316,1,23.0,0,1,0,0,1
98,4.75e-05,0.0003,5.92e-07,2,12,4,36,1944596770,0,32.0,0,1,1,0,0
101,1.84e-05,7e-05,5.92e-06,1,2,2,11,1895475500,0,30.0,0,1,1,0,0
103,0.0,0.0,0.0,0,0,1,3,274087331,1,29.0,0,1,0,0,1
104,2.98e-05,0.0002898,8.87e-06,0,0,1,6,1175497727,0,26.0,0,1,0,0,1
106,1.61e-05,6.64e-05,2.54e-06,1,1,3,13,1917631975,0,36.0,0,1,1,0,0
108,0.0,0.0,0.0,0,0,1,1,1161797704,1,19.0,0,1,0,0,1
112,4.72e-05,0.00011,1.18e-06,1,6,4,25,1961104219,0,26.0,0,1,1,0,0
117,4.34e-05,0.00029,7.69e-06,1,1,4,20,512044489,0,44.0,0,1,1,0,0
118,0.0,0.0,0.0,0,0,1,1,1270178813,1,29.0,0,1,0,0,1
